name,type,length_km,duration_hour,difficulty,region,type_of_view,rating,elevation_gain,type_Country Trail,type_Family Walk,type_Geo Route,type_Hong Kong Trail,type_Lantau Trail,type_Long-distance Trail,type_Nature Trail,type_Recommended Route,type_Tree Walk,type_Wilson Trail,difficulty_encoded,region_Central New Territories,region_Hong Kong Island,region_Lantau,region_North New Territories,region_Sai Kung,region_West New Territories
MacLehose Trail (Section 1) Pak Tam Chung to Long Ke,Long-distance Trail,10.6,3.0,Hard,Sai Kung,"beach, lake",4.5,1250.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0
MacLehose Trail (Section 2) Long Ke to Pak Tam Au,Long-distance Trail,13.5,5.0,Hard,Sai Kung,"beauty of the coast of Hong Kong, Sai Wan beach, azure sky and crystal-clear seawater, stargazing area, Tai Long Wan, Ham Tin Wan, Chek Keng, pier, shingle beaches and mangroves",4.7,2168.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0
MacLehose Trail (Section 3) Pak Tam Au to Kei Ling Ha,Long-distance Trail,10.2,4.0,Hard,Sai Kung,"forests, views",4.5,1994.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0
MacLehose Trail (Section 4) Kei Ling Ha to Tate's Cairn,Long-distance Trail,12.7,5.0,Hard,Sai Kung,"views, wildflowers",4.5,2805.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0
MacLehose Trail (Section 5) Tate's Cairn to Tai Po Road,Long-distance Trail,10.6,4.5,Hard,Central New Territories,forests and views,4.5,1791.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
MacLehose Trail (Section 6) Tai Po Road to Shing Mun,Long-distance Trail,4.6,1.5,Moderate,Central New Territories,"Forests, Lakes",4.2,679.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
MacLehose Trail (Section 7) Shing Mun to Lead Mine Pass,Long-distance Trail,6.2,2.5,Hard,Central New Territories,"Lead Mine Pass, Grassy Hill, Needle Hill, and Shing Mun Reservoir",4.5,1971.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
MacLehose Trail (Section 8) Lead Mine Pass to Route Twisk,Long-distance Trail,9.7,4.0,Hard,Central New Territories,"Historical mine caves, Tai Mo Shan, tea cultivation fields, New Territories views, Tsing Ma Bridge views, Shenzhen views, forests, mist-enveloped scenery",4.6,2047.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
MacLehose Trail (Section 9) Route Twisk to Tin Fu Tsai,Long-distance Trail,6.3,2.5,Moderate,West New Territories,"observation deck overlooking Tsuen Wan and Stonecutters Bridge, Ho Pui Irrigation Reservoir, forests, native Red Azalea, Skullcap, Snake Strawberries, Dichrocephala integrifolia",4.1,439.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
MacLehose Trail (Section 10) Tin Fu Tsai to Tuen Mun,Long-distance Trail,15.6,5.0,Hard,West New Territories,Thousand-Island Lake of Hong Kong,4.1,1213.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0
Hong Kong Trail (Section 1) The Peak to Pok Fu Lam Reservoir Road,Hong Kong Trail,7.0,2.0,Moderate,Hong Kong Island,"views, wildflowers",4.5,515.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
Hong Kong Trail (Section 2) Pok Fu Lam Reservoir Road to Peel Rise,Hong Kong Trail,4.5,1.5,Moderate,Hong Kong Island,"forests, streams, Aberdeen, Lamma Island",4.270769230769231,1017.0604,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
Hong Kong Trail (Section 3) Peel Rise to Wan Chai Gap,Hong Kong Trail,6.5,1.75,Moderate,Hong Kong Island,"green zones, lush woodlands",4.4,1607.6116,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
Hong Kong Trail (Section 4) Wan Chai Gap to Wong Nai Chung Gap,Hong Kong Trail,7.5,2.0,Moderate,Hong Kong Island,forests,4.2,2395.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
Hong Kong Trail (Section 5) Wong Nai Chung Gap to Mount Parker Road,Hong Kong Trail,4.0,1.5,Hard,Hong Kong Island,Views,4.4,1204.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0
Hong Kong Trail (Section 7) Tai Tam Road to To Tei Wan,Hong Kong Trail,7.5,2.0,Moderate,Hong Kong Island,"trees, Tai Tam Bay, Red Hill Peninsula, Lan Nai Wan Village",4.270769230769231,1623.4651872222223,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
Hong Kong Trail (Section 8) To Tei Wan to Tai Long Wan,Hong Kong Trail,8.5,2.75,Hard,Hong Kong Island,"Beaches, Forests",4.6,741.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0
Lantau Trail (Section 1) Mui Wo to Nam Shan,Lantau Trail,2.5,0.75,Easy,Lantau,villages,3.6,485.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Lantau Trail (Section 3) Pak Kung Au to Ngong Ping,Lantau Trail,4.5,2.25,Hard,Lantau,azure sky and verdant woodlands,4.6,1833.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0
Lantau Trail (Section 5) Sham Wat Road to Man Cheung Po,Lantau Trail,7.5,2.75,Hard,Lantau,"woodland, grassland, waterfalls",4.3,1414.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0
Lantau Trail (Section 7) Tai O to Kau Ling Chung,Lantau Trail,10.5,3.0,Hard,Lantau,"shingle beach, mangrove forest, Pearl River Estuary view",4.5,885.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0
Lantau Trail (Section 8) Kau Ling Chung to Shek Pik,Lantau Trail,5.5,1.5,Moderate,Lantau,"Forests, Lakes",4.2,295.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Lantau Trail (Section 11) Tung Chung Road to Pui O,Lantau Trail,4.5,1.25,Moderate,Lantau,"Beach, Waterfall",4.0,275.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Wilson Trail (Section 1) Stanley Gap Road to Wong Nai Chung Reservoir,Wilson Trail,4.8,3.0,Hard,Hong Kong Island,"St Stephen's Beach, Stanley Main Beach, D'Aguilar Peninsula, Lo Chau, Po Toi Island, Stanley Village, D'Aguilar Peninsula, ocean",4.6,1893.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0
Wilson Trail (Section 3) Lam Tin to Tseng Lan Shue,Wilson Trail,9.3,4.0,Hard,Sai Kung,"views, wildflowers",4.3,1131.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0
Wilson Trail (Section 4) Tseng Lan Shue to Sha Tin Pass,Wilson Trail,8.0,3.0,Hard,Central New Territories,"Woodland, Hong Kong cityscape, Kowloon East, Fei Ngo Shan, Cheung Shan, Pak Sha Wan, Lion Rock, Beacon Hill, Tung Shan, Tate's Cairn, and Temple Hill",4.3,1833.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
Wilson Trail (Section 5) Sha Tin Pass to Tai Po Road,Wilson Trail,7.4,2.5,Moderate,Central New Territories,"views of Sha Tin, Tai Wai, Tolo Harbour, Ma On Shan, and diverse flora species",4.1,2099.7376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Wilson Trail (Section 8) Yuen Tun Ha to Cloudy Hill,Wilson Trail,9.0,4.0,Hard,North New Territories,"cultural sites, reservoir view, forests, views",4.2,1433.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0
Wilson Trail (Section 9) Cloudy Hill to Pat Sin Leng,Wilson Trail,10.6,4.5,Hard,North New Territories,"Hok Tau Reservoir, Ping Fung Shan, Pat Sin Leng range of eight peaks, 360-degree views of the North East New Territories, Plover Cove Reservoir",4.6,2286.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0
Wilson Trail (Section 10) Pat Sin Leng to Nam Chung,Wilson Trail,6.8,2.5,Hard,North New Territories,"deserted ancient village, fish ponds, mudflats, and mangroves",3.8,259.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0
Shek Pik Country Trail,Country Trail,5.5,2.0,Hard,Lantau,"Reservoir, forest, Hong Kong Hawthorn, Rhododendron, Wild Cherry, Cochin-china Homalium, Tian Tan Buddha Statue",4.4,426.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0
South Lantau Country Trail,Country Trail,10.3,3.0,Hard,Lantau,"Forests, views",4.5,1571.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0
Hong Pak Country Trail,Country Trail,3.6,1.75,Moderate,Hong Kong Island,"Green vistas of the surrounding mountain ranges, scenes of birds chirping and flowers blooming, interesting looking rocks, and a full view of the cityscape of Quarry Bay and its neighboring areas.",4.270769230769231,685.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
Tai Tam Country Trail,Country Trail,2.6,1.5,Hard,Hong Kong Island,"Forests, views",4.0,944.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0
Pottinger Peak Country Trail,Country Trail,1.9,1.5,Moderate,Hong Kong Island,"coastline and bays of Big Wave Bay and Shek O, scenic coastal beauty of Hong Kong Island",3.9,505.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
Lung Mun Country Trail,Country Trail,5.0,2.5,Hard,West New Territories,"Hakka village, streams, urban views, mountains, bridges, straits",4.2,767.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0
Keung Shan Country Trail,Country Trail,8.2,3.0,Hard,Lantau,"Forests, Views",4.4,1233.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0
Double Haven Country Trail,Country Trail,13.2,6.0,Hard,North New Territories,"Beaches, Forests",4.3,551.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0
Tei Tong Tsai Country Trail,Country Trail,2.0,0.75,Easy,Lantau,"Forests, Views",4.5,288.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Sheung Yiu Country Trail,Country Trail,3.3,1.25,Moderate,Sai Kung,"Beaches, Forests",3.9,413.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
Yuen Tun Country Trail,Country Trail,9.0,4.0,Hard,West New Territories,"Hakka village, views of Sham Tseng, Ma Wan, Tsing Ma Bridge, Tsing Yi, Tai Lam Chung Reservoir, Forests",4.4,1381.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0
Luk Wu Country Trail,Country Trail,5.3,3.0,Hard,Sai Kung,"High Island Reservoir views, Tai Long Wan views, Sheung Luk Stream, woods, scenes of Chek Keng Hau, Sham Wan Tsai, Wan Tsai Peninsula and Tap Mun, forests, views, waterfall, bell flowers",4.5,797.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0
Cheung Sheung Country Trail,Country Trail,4.2,3.0,Hard,Sai Kung,"marshes, Shek Uk Shan views, Cheung Sheung Plateau, Three Fathoms Cove",4.270769230769231,1623.4651872222223,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0
Fu Tei Country Trail,Country Trail,4.0,2.0,Moderate,West New Territories,"Forests, Lakes",4.3,990.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
High Junk Peak Country Trail,Country Trail,6.4,3.0,Hard,Sai Kung,"Port Shelter, Clearwater Bay, Joss House Bay, Ninepin Group, Basalt Island",4.6,1217.19164,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0
Lin Ma Hang Country Trail,Country Trail,2.6,1.5,Hard,North New Territories,"lush green hills, Fung Shui Woods, remnants of rice terraces, views of the MacIntosh Fort (Kong Shan), Lin Ma Hang Lead Mine, Robin's Nest, upland grassland, and secondary woodland",4.270769230769231,1410.7612,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0
Tai Lam Nature Trail,Nature Trail,10.0,4.0,Hard,West New Territories,"Pak Kung Temple, Kat Hing Bridge, Rhodoleia, Romer's Tree Frogs, Tai Lam Chung Reservoir",4.270769230769231,1623.4651872222223,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0
Rotary Park Nature Trail,Nature Trail,0.8,1.0,Easy,West New Territories,"lush woodlands, Steep Island, Lamma Island, Tsing Yi, Victoria Peak, Mount Davis",3.7,1623.4651872222223,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Pat Sin Leng Nature Trail,Nature Trail,4.0,2.0,Moderate,North New Territories,"Reservoir, harbor views",3.9,951.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
Pak Tam Chung Nature Trail,Nature Trail,0.9,0.5,Easy,Sai Kung,"views of fresh and sea water coming together, mangroves, plants like Longans, Night-blooming Cereus, Sandpaper Vine, Sheung Yiu Folk Museum",4.4,95.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Eagle's Nest Nature Trail,Nature Trail,3.0,1.5,Easy,Central New Territories,"Nature/Wildlife, City Views",3.6,521.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Tsiu Hang Nature Trail,Nature Trail,0.8,1.0,Easy,Sai Kung,"mosses, fungi, decomposing logs, host and nectar plants, special tree species",4.270769230769231,131.2336,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Pineapple Dam Nature Trail,Nature Trail,9.24263157894737,2.385428571428572,Easy,Central New Territories,"reservoir scenery, woodlands",4.270769230769231,1623.4651872222223,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Quarry Bay Tree Walk,Tree Walk,1.1,0.6,Easy,Hong Kong Island,"Escape from the city, nature, and wartime history",3.0,1623.4651872222223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Tai Tan Tree Walk,Tree Walk,0.23,0.3,Easy,Sai Kung,"Tree species such as Myrobalan, Ivy Tree, Brisbane Box and Taiwan Acacia",4.270769230769231,26.24672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Tai Tong Tree Walk,Tree Walk,0.65,1.0,Easy,West New Territories,undefined,4.270769230769231,1623.4651872222223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Pok Fu Lam Family Walk,Family Walk,3.5,1.0,Easy,Hong Kong Island,"reservoir, woodlands, streams",4.270769230769231,209.9,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Ma On Shan Family Walk,Family Walk,0.44,0.25,Easy,Central New Territories,"Ma On Shan New Town, Tolo Harbour, Chinese University of Hong Kong, Ma On Shan Country Park, Shing Mun River, Ma On Shan Mine, Grace Youth Camp",4.270769230769231,1623.4651872222223,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Tai Mo Shan Family Walk,Family Walk,0.5,0.33,Easy,West New Territories,Forests,4.6,59.05512,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Sheung Yiu Family Walk,Family Walk,1.8,1.0,Easy,Sai Kung,"natural habitats, Hakka village, woods, rolling hills, bay, mangroves",4.270769230769231,1623.4651872222223,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Ap Chau Geosite,Geo Route,1.0,1.0,Easy,North New Territories,"beaches, views",3.9,55.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Lai Chi Chong Geosite,Geo Route,1.0,1.0,Easy,Sai Kung,"Beaches, Views, shoreside mangroves, and rocks of varying colours by the shore and under the water",4.0,16.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
High Island Geo Trail – Po Pin Chau Section,Geo Route,1.9,2.0,Moderate,Sai Kung,"Eroded hexagonal volcanic rock columns, pebble beach, East Dam views, High Island Reservoir views, Po Pin Chau sea backdrop",4.0,183.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
High Island Geo Trail – East Dam Section (Old),Geo Route,2.8,2.0,Easy,Sai Kung,undefined,4.0,1623.4651872222223,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
War Relics Trail (Shing Mun),Recommended Route,0.25,0.5,Easy,Central New Territories,"military relics of the Second World War, defence infrastructure, tunnels",4.270769230769231,1623.4651872222223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Lion Rock War Relics Trail,Recommended Route,9.0,4.0,Hard,Central New Territories,"war ruins, pillboxes, direction slabs, trenches, military caves and blockhouse",4.270769230769231,1623.4651872222223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
Pinewood Battery Heritage Trail,Recommended Route,0.38,0.5,Easy,Hong Kong Island,stone staircases and rewarding views,4.4,1558.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Lion Rock Historic Walk,Recommended Route,7.0,4.0,Hard,Central New Territories,"relics, ancient stone trails, rock-forms, awe-inspiring scenery, Tolo Harbour, Pat Sin Leng, and the Plover Cove Reservoir to the north. To the south, you can admire the Kowloon Peninsula, Lei Yue Mun, and Victoria Harbour, where skyscrapers rise from beneath the mountains, creating a unique landscape where the city meets the countryside.",4.270769230769231,1623.4651872222223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
Nam Chung Country Trail,Country Trail,13.2,6.0,Hard,North New Territories,Forests,4.1,1282.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0
Nei Lak Shan Country Trail,Country Trail,9.24263157894737,2.385428571428572,Moderate,Lantau,"Forests, Views",4.3,820.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Wong Lung Hang Country Trail,Country Trail,9.24263157894737,2.385428571428572,Hard,Lantau,undefined,4.5,1623.4651872222223,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0
Tai Lam Chung Country Trail,Country Trail,9.24263157894737,2.385428571428572,Hard,West New Territories,undefined,4.4,1243.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0
Shing Mun Reservoir Walk,Recommended Route,9.24263157894737,2.385428571428572,Hard,Central New Territories,"forests, lakes",4.4,866.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
Hong Kong Trail (Dragon’s Back) highlight,Hong Kong Trail,8.5,2.75,Hard,Hong Kong Island,"Lush countryside, craggy coastline, beaches, forests",4.7,557.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0
Tai Tam to Tai Koo (Tai Tam Reservoir Section),Recommended Route,9.24263157894737,2.385428571428572,Moderate,Hong Kong Island,"lush green, biodiversity, reservoirs",4.270769230769231,1279.5276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
Wong Shek Family Walk,Family Walk,9.24263157894737,2.385428571428572,Easy,Sai Kung,beaches,4.4,426.5092,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Ngong Ping Tree Walk,Tree Walk,9.24263157894737,2.385428571428572,Easy,Lantau,undefined,4.270769230769231,32.8084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Nam Shan Tree Walk,Tree Walk,0.44,2.385428571428572,Easy,Lantau,wooded path,4.270769230769231,98.4252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Kei Ling Ha Tree Walk,Tree Walk,0.65,2.385428571428572,Easy,Central New Territories,Forest,4.270769230769231,98.4252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Kap Lung Ancient Trail Country Trail,Country Trail,9.24263157894737,2.385428571428572,Moderate,West New Territories,"Forests, Views",3.6,1463.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
War Department Marker Stone Spur (Beacon Hill),Recommended Route,9.24263157894737,2.385428571428572,Hard,Central New Territories,undefined,4.270769230769231,1623.4651872222223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
Pak Tam Chung to Biu Tsim Kok Hiking Trail,Recommended Route,9.24263157894737,2.385428571428572,Hard,Sai Kung,undefined,4.270769230769231,1623.4651872222223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0
Shui Long Wo to Tai Shui Tseng,Recommended Route,9.24263157894737,2.385428571428572,Hard,Sai Kung,"Pyramid Hill, Ma On Shan, The Hunch Backs",4.7,1729.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0
Tai Tong to Wong Nai Tun Reservoir,Recommended Route,7.1,3.5,Hard,West New Territories,"Sweet Gum Woods, Thousand-Island Lake",4.270769230769231,1623.4651872222223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0
Hong Kong Trail (Section 6) Mount Parker Road to Tai Tam Road,Hong Kong Trail,9.24263157894737,2.385428571428572,Moderate,Hong Kong Island,Tai Tam Reservoir,4.4,180.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
Hong Kong Trail overall,Long-distance Trail,50.0,2.385428571428572,Moderate,Hong Kong Island,Views and tourist attractions,4.6,5524.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
Lantau Trail overall,Long-distance Trail,70.0,2.385428571428572,Moderate,Lantau,"mountain peaks, traditional villages, coastal scenery",4.4,10036.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
